1. Start: 109, End: 112
2. Start: 112, End: 103
3. Start: 103, End: 115
4. Start: 115, End: 98
5. Start: 98, End: 113
6. Start: 113, End: 100
7. Start: 100, End: 121
8. Start: 121, End: 98
9. Start: 98, End: 118
10. Start: 118, End: 102
11. Start: 102, End: 109
12. Start: 109, End: 26
13. Start: 26, End: 107
14. Start: 107, End: 25
15. Start: 25, End: 105
16. Start: 105, End: 24
17. Start: 24, End: 104
18. Start: 104, End: 25
19. Start: 25, End: 109
20. Start: 109, End: 115
21. Start: 115, End: 96
22. Start: 96, End: 123
23. Start: 123, End: 97
24. Start: 97, End: 119
25. Start: 119, End: 95
26. Start: 95, End: 124
27. Start: 124, End: 98
28. Start: 98, End: 117
29. Start: 117, End: 100
30. Start: 100, End: 115
31. Start: 115, End: 99
32. Start: 99, End: 123
33. Start: 123, End: 94
34. Start: 94, End: 125
35. Start: 125, End: 97
36. Start: 97, End: 122
37. Start: 122, End: 98
38. Start: 98, End: 120
39. Start: 120, End: 94
40. Start: 94, End: 124
41. Start: 124, End: 92
42. Start: 92, End: 121
43. Start: 121, End: 101
44. Start: 101, End: 112
45. Start: 112, End: 27
46. Start: 27, End: 110
47. Start: 110, End: 26
48. Start: 26, End: 108
49. Start: 108, End: 24
50. Start: 24, End: 106
51. Start: 106, End: 26
52. Start: 26, End: 105
53. Start: 105, End: 23
54. Start: 23, End: 102
55. Start: 102, End: 25
56. Start: 25, End: 108
57. Start: 108, End: 23
58. Start: 23, End: 106
59. Start: 106, End: 117
60. Start: 117, End: 103
61. Start: 103, End: 24
62. Start: 24, End: 109
63. Start: 109, End: 27
64. Start: 27, End: 111
65. Start: 111, End: 25
66. Start: 25, End: 103
67. Start: 103, End: 26
68. Start: 26, End: 112
69. Start: 112, End: 99
70. Start: 99, End: 118
71. Start: 118, End: 96
72. Start: 96, End: 124
73. Start: 124, End: 91
74. Start: 91, End: 125
75. Start: 125, End: 93
76. Start: 93, End: 123
77. Start: 123, End: 95
78. Start: 95, End: 121
79. Start: 121, End: 105
80. Start: 105, End: 22
81. Start: 22, End: 104
82. Start: 104, End: 23
83. Start: 23, End: 101
84. Start: 101, End: 24
85. Start: 24, End: 110
86. Start: 110, End: 25
87. Start: 25, End: 106
88. Start: 106, End: 21
89. Start: 21, End: 105
90. Start: 105, End: 27
91. Start: 27, End: 107
92. Start: 107, End: 115
93. Start: 115, End: 113
94. Start: 113, End: 26
95. Start: 26, End: 104
96. Start: 104, End: 19
97. Start: 19, End: 107
98. Start: 107, End: 24
99. Start: 24, End: 100
100. Start: 100, End: 122
101. Start: 122, End: 94
102. Start: 94, End: 116
103. Start: 116, End: 97
104. Start: 97, End: 114
105. Start: 114, End: 28
106. Start: 28, End: 112
107. Start: 112, End: 24
108. Start: 24, End: 102
109. Start: 102, End: 26
110. Start: 26, End: 101
111. Start: 101, End: 20
112. Start: 20, End: 103
113. Start: 103, End: 22
114. Start: 22, End: 109
115. Start: 109, End: 23
116. Start: 23, End: 103
117. Start: 103, End: 16
118. Start: 16, End: 105
119. Start: 105, End: 18
120. Start: 18, End: 103
121. Start: 103, End: 120
122. Start: 120, End: 59
123. Start: 59, End: 121
124. Start: 121, End: 86
125. Start: 86, End: 124
126. Start: 124, End: 88
127. Start: 88, End: 123
128. Start: 123, End: 90
129. Start: 90, End: 126
130. Start: 126, End: 93
131. Start: 93, End: 120
132. Start: 120, End: 60
133. Start: 60, End: 121
134. Start: 121, End: 57
135. Start: 57, End: 119
136. Start: 119, End: 66
137. Start: 66, End: 173
138. Start: 173, End: 72
139. Start: 72, End: 175
140. Start: 175, End: 73
141. Start: 73, End: 177
142. Start: 177, End: 74
143. Start: 74, End: 179
144. Start: 179, End: 75
145. Start: 75, End: 182
146. Start: 182, End: 76
147. Start: 76, End: 1
148. Start: 1, End: 77
149. Start: 77, End: 181
150. Start: 181, End: 74
151. Start: 74, End: 174
152. Start: 174, End: 72
153. Start: 72, End: 176
154. Start: 176, End: 75
155. Start: 75, End: 180
156. Start: 180, End: 74
157. Start: 74, End: 173
158. Start: 173, End: 73
159. Start: 73, End: 178
160. Start: 178, End: 75
161. Start: 75, End: 173
162. Start: 173, End: 71
163. Start: 71, End: 171
164. Start: 171, End: 72
165. Start: 72, End: 177
166. Start: 177, End: 76
167. Start: 76, End: 2
168. Start: 2, End: 75
169. Start: 75, End: 183
170. Start: 183, End: 74
171. Start: 74, End: 175
